iter	Passed	Remaining
0	134	133951
1	135	67845
2	137	45752
3	139	34674
4	141	28102
5	142	23679
6	144	20551
7	146	18153
8	147	16287
9	149	14831
10	151	13613
11	152	12595
12	154	11736
13	156	11009
14	158	10386
15	159	9823
16	161	9323
17	162	8859
18	163	8446
19	164	8073
20	165	7737
21	167	7432
22	168	7148
23	169	6887
24	170	6642
25	171	6416
26	172	6206
27	173	6013
28	174	5831
29	175	5660
30	175	5501
31	176	5351
32	177	5214
33	178	5081
34	179	4955
35	180	4835
36	181	4720
37	182	4613
38	183	4511
39	183	4411
40	184	4316
41	185	4226
42	185	4139
43	186	4054
44	187	3974
45	187	3896
46	188	3822
47	189	3751
48	189	3682
49	190	3615
50	190	3550
51	191	3487
52	191	3427
53	192	3368
54	192	3311
55	193	3257
56	193	3204
57	194	3154
58	194	3105
59	195	3058
60	195	3012
61	196	2969
62	196	2928
63	197	2886
64	197	2847
65	198	2808
66	198	2769
67	199	2732
68	199	2696
69	200	2660
70	200	2626
71	201	2592
72	201	2560
73	202	2528
74	202	2497
75	202	2467
76	203	2437
77	203	2409
78	204	2381
79	204	2354
80	205	2327
81	205	2301
82	205	2273
83	206	2249
84	206	2225
85	207	2202
86	207	2179
87	208	2156
88	208	2134
89	209	2113
90	209	2092
91	209	2071
92	210	2052
93	210	2032
94	211	2013
95	211	1994
96	212	1975
97	212	1957
98	213	1939
99	213	1921
100	213	1904
101	214	1887
102	214	1871
103	215	1855
104	215	1839
105	216	1823
106	216	1808
107	217	1793
108	217	1779
109	218	1764
110	218	1750
111	218	1735
112	219	1722
113	219	1708
114	220	1695
115	220	1681
116	221	1668
117	221	1655
118	221	1642
119	222	1630
120	222	1618
121	223	1605
122	223	1594
123	224	1582
124	224	1571
125	225	1560
126	225	1549
127	225	1538
128	226	1528
129	226	1518
130	227	1507
131	227	1497
132	228	1487
133	228	1477
134	229	1467
135	229	1458
136	229	1448
137	230	1439
138	230	1430
139	231	1421
140	231	1412
141	232	1402
142	232	1393
143	232	1384
144	233	1376
145	233	1367
146	234	1359
147	234	1351
148	235	1343
149	235	1335
150	236	1327
151	236	1319
152	237	1312
153	237	1304
154	237	1296
155	238	1289
156	238	1282
157	239	1275
158	239	1268
159	240	1261
160	240	1253
161	241	1247
162	241	1240
163	242	1233
164	242	1227
165	242	1220
166	243	1214
167	243	1207
168	244	1201
169	244	1195
170	245	1188
171	245	1182
172	246	1176
173	246	1170
174	247	1164
175	247	1159
176	248	1153
177	248	1147
178	249	1142
179	249	1136
180	249	1130
181	250	1125
182	250	1119
183	251	1114
184	251	1108
185	252	1103
186	252	1098
187	253	1093
188	253	1087
189	254	1083
190	254	1078
191	255	1073
192	255	1068
193	255	1063
194	256	1058
195	256	1053
196	257	1049
197	257	1044
198	258	1040
199	258	1035
200	259	1030
201	259	1026
202	260	1021
203	260	1016
204	261	1012
205	261	1007
206	261	1003
207	262	999
208	262	994
209	263	990
210	263	986
211	264	981
212	264	977
213	265	973
214	265	969
215	265	965
216	266	961
217	266	957
218	267	953
219	267	949
220	268	946
221	268	942
222	269	938
223	269	935
224	270	931
225	270	927
226	271	924
227	271	920
228	272	916
229	272	913
230	273	909
231	273	905
232	274	902
233	274	898
234	274	895
235	275	891
236	275	888
237	276	884
238	276	881
239	277	877
240	277	874
241	278	871
242	278	868
243	279	865
244	279	861
245	280	858
246	280	855
247	281	852
248	281	849
249	282	846
250	282	842
251	282	839
252	283	836
253	283	833
254	284	830
255	284	827
256	285	824
257	285	821
258	286	818
259	286	815
260	287	812
261	287	810
262	288	807
263	288	804
264	289	801
265	289	798
266	289	795
267	290	793
268	290	790
269	291	787
270	291	784
271	292	781
272	292	779
273	292	776
274	293	773
275	293	770
276	294	768
277	294	765
278	295	762
279	295	760
280	296	758
281	296	755
282	297	752
283	297	750
284	298	748
285	298	745
286	299	743
287	299	740
288	300	738
289	300	735
290	301	733
291	301	730
292	301	728
293	302	726
294	302	723
295	303	721
296	303	718
297	304	716
298	304	714
299	305	711
300	305	709
301	306	707
302	306	705
303	306	702
304	307	700
305	307	698
306	308	696
307	308	693
308	309	691
309	309	689
310	310	687
311	310	685
312	311	683
313	311	681
314	312	679
315	312	677
316	313	675
317	313	673
318	314	671
319	315	669
320	315	667
321	316	665
322	316	663
323	317	661
324	317	660
325	318	658
326	318	656
327	319	654
328	319	652
329	320	650
330	320	648
331	321	646
332	321	644
333	322	642
334	322	640
335	323	639
336	323	637
337	324	635
338	324	633
339	325	631
340	325	629
341	326	627
342	326	625
343	326	623
344	327	621
345	327	619
346	328	617
347	328	616
348	329	614
349	329	612
350	330	610
351	330	608
352	330	606
353	331	604
354	331	602
355	332	601
356	332	599
357	333	597
358	333	595
359	334	593
360	334	592
361	334	590
362	335	588
363	335	586
364	336	585
365	336	583
366	337	581
367	337	579
368	338	578
369	338	576
370	339	575
371	339	573
372	340	571
373	340	570
374	341	568
375	341	566
376	341	565
377	342	563
378	342	561
379	343	560
380	343	558
381	344	556
382	344	555
383	345	553
384	345	551
385	345	550
386	346	548
387	346	546
388	347	545
389	347	543
390	348	542
391	348	540
392	349	539
393	349	537
394	349	536
395	350	534
396	350	532
397	351	531
398	351	529
399	352	528
400	352	526
401	353	525
402	353	524
403	354	522
404	354	521
405	355	519
406	355	518
407	356	516
408	356	515
409	357	513
410	357	512
411	357	510
412	358	509
413	358	508
414	359	506
415	359	505
416	360	503
417	360	502
418	361	500
419	361	499
420	361	497
421	362	496
422	362	494
423	363	493
424	363	492
425	364	490
426	364	489
427	365	487
428	365	486
429	365	485
430	366	483
431	366	482
432	367	480
433	367	479
434	368	478
435	368	477
436	369	475
437	369	474
438	370	472
439	370	471
440	370	470
441	371	468
442	371	467
443	372	466
444	372	464
445	373	463
446	373	462
447	374	460
448	374	459
449	374	458
450	375	456
451	375	455
452	376	454
453	376	453
454	377	451
455	377	450
456	378	449
457	378	447
458	378	446
459	379	445
460	379	444
461	380	442
462	380	441
463	381	440
464	381	439
465	382	437
466	382	436
467	383	435
468	383	434
469	383	432
470	384	431
471	384	430
472	385	429
473	385	428
474	386	426
475	386	425
476	387	424
477	387	423
478	387	421
479	388	420
480	388	419
481	389	418
482	389	417
483	390	416
484	390	414
485	391	413
486	391	412
487	392	411
488	392	410
489	392	408
490	393	407
491	393	406
492	394	405
493	394	404
494	395	403
495	395	402
496	396	401
497	396	399
498	397	398
499	397	397
500	398	396
501	398	395
502	399	394
503	399	393
504	400	392
505	400	391
506	401	390
507	401	388
508	402	387
509	402	386
510	403	385
511	403	384
512	404	383
513	404	382
514	405	381
515	405	380
516	406	379
517	406	378
518	407	377
519	407	376
520	408	375
521	408	374
522	409	373
523	409	372
524	410	371
525	410	370
526	411	369
527	411	368
528	412	367
529	412	366
530	413	364
531	413	363
532	414	362
533	414	361
534	415	360
535	415	359
536	416	358
537	416	357
538	417	356
539	417	355
540	418	354
541	418	353
542	419	352
543	419	351
544	420	350
545	420	349
546	421	348
547	421	347
548	422	346
549	422	345
550	423	344
551	424	344
552	424	343
553	425	342
554	425	341
555	426	340
556	426	339
557	427	338
558	427	337
559	428	336
560	428	335
561	429	334
562	429	333
563	430	332
564	430	331
565	431	330
566	431	329
567	432	328
568	432	327
569	433	326
570	433	325
571	434	324
572	434	324
573	435	323
574	435	322
575	436	321
576	436	320
577	437	319
578	438	318
579	438	317
580	439	317
581	440	316
582	440	315
583	441	314
584	441	313
585	442	312
586	442	311
587	443	310
588	443	309
589	444	308
590	444	307
591	445	307
592	445	306
593	446	305
594	447	304
595	447	303
596	447	302
597	448	301
598	449	300
599	449	299
600	450	298
601	450	297
602	451	297
603	451	296
604	452	295
605	452	294
606	453	293
607	453	292
608	454	291
609	454	290
610	455	289
611	455	289
612	456	288
613	456	287
614	457	286
615	457	285
616	458	284
617	459	283
618	459	283
619	460	282
620	460	281
